'bi'kang'de 鼻康德
'hong'yu'zan'hua'tou 红玉簪花头
'wei'wei'ke'li 卫胃颗粒
'bu'ji'san 补肌散
'da'huo'cao 打火草
'er'di'you 耳底油
'teng'li'gen 藤梨根
'qing're'yao 清热药
'hong'hua'zi 红花子
'sheng'ning'you 圣宁油
'liu'jin'wan 流金丸
'bu'qi'huang'qi'tang 补气黄耆汤
'bu'qi'huang'qi'shang 补气黄耆汤
'qian'jin'zheng 千金正
'jian'shen'qiang'jing'jiu 健肾强精酒
'jian'shen'jiang'jing'jiu 健肾强精酒
'ba'wei'da'fa'san 八味大发散
'shu'gan'tong'ru'tang 疏肝通乳汤
'shu'gan'tong'ru'shang 疏肝通乳汤
'huang'ge'shu'miao 黄葛树苗
'bu'xie'li'shen'tang 补泄理肾汤
'bu'yi'li'shen'tang 补泄理肾汤
'bu'xie'li'shen'shang 补泄理肾汤
'bu'yi'li'shen'shang 补泄理肾汤
'fu'fang'an'fen'na'min'ke'li 复方氨酚那敏颗粒
'fu'fang'an'fen'ne'min'ke'li 复方氨酚那敏颗粒
'fu'fang'an'fen'nei'min'ke'li 复方氨酚那敏颗粒
'zhen'ren'huo'ming'yin 真人活命饮
'die'da'you 跌打油
'duo'kai 哆开
'cun'jin'yuan 寸金圆
'jie'du'liang'xue'tang 解毒凉血汤
'jie'du'liang'xue'shang 解毒凉血汤
'tu'ju'tan'fang 吐剧痰方
'a'si'pi'lin'shuang'mi'da'mo'pian 阿司匹林双嘧达莫片
'a'si'pi'lin'shuang'mi'da'mu'pian 阿司匹林双嘧达莫片
'jie'feng'wan 截风丸
'song'gao 松膏
'gan'pi'qi'zhi'zheng 肝脾气滞证
'fu'fang'yi'mu'cao'jiao'nang 复方益母草胶囊
'chun'pi'chun'gen'pi 椿皮椿根皮
'ci'xian'cai 刺苋菜
'huang'yang'you 黄羊油
'bo'yun'tui'yi'san 拨云退翳散
'jie'du'sheng'ji'san 解毒生肌散
'da'wu'gong'san 大蜈蚣散
'dai'wu'gong'san 大蜈蚣散
'tai'wu'gong'san 大蜈蚣散
'yan'yan'tie 咽炎贴
'chi'mo'xia'chui'bing 赤膜下垂病
'qiu'yin'he'ji 蚯蚓合剂
'jin'yin'bai'zhi'san 金银白芷散
'xiang'sha'liu'jun'zi'tang'jia'jian 香砂六君子汤加减
'niu'shi'shu 牛屎树
'xiao'er'xiao'shi'ke'li 小儿消食颗粒
'zheng'pian'tou'tong'xi'neng'kang 正偏头痛悉能康
'zheng'pian'tou'tong'xi'nai'kang 正偏头痛悉能康
'wu'ji'jian'wan 乌鸡煎丸
'qing'fen'san 轻粉散
'can'shu'gao 参术膏
'shen'shu'gao 参术膏
'cen'shu'gao 参术膏
'san'shu'gao 参术膏
'can'zhu'gao 参术膏
'shen'zhu'gao 参术膏
'cen'zhu'gao 参术膏
'san'zhu'gao 参术膏
'xiao'er'pi'xu'sheng'feng'zheng 小儿脾虚生风证
'zhi'feng'huo'tan'tang 治风豁痰汤
'zhi'feng'huo'tan'shang 治风豁痰汤
'hei'shou'sheng'fa'ke'li 黑首生发颗粒
'xu'yang'shang'fu'zheng 虚阳上浮证
'yang'xin'an'mian'jiao'nang 养心安眠胶囊
'shi'wei'yin'zi 石韦饮子
'dan'wei'yin'zi 石韦饮子
'zhui'feng'chu'shi'jiu 追风除湿酒
'er'shi'wu'wei'lv'xue'wan 二十五味驴血丸
'er'shi'wu'wei'lv'xie'wan 二十五味驴血丸
'fu'fang'tian'qi'wei'tong'pian 复方田七胃痛片
'yu'dai'gen 玉带根
'chong'zu'ren'yi'dao'su'zhu'she'ye 重组人胰岛素注射液
'yi'xin'kou'fu'ye 益心口服液
'huai'bai'pi'san 槐白皮散
'yi'ban'nong 依伴侬
'su'ke'san 粟壳散
'su'qiao'san 粟壳散
'qiang'wei'gen'jian 蔷薇根煎
'can'qian'gu'jing'ke'li 参茜固经颗粒
'can'xi'gu'jing'ke'li 参茜固经颗粒
'shen'qian'gu'jing'ke'li 参茜固经颗粒
'cen'qian'gu'jing'ke'li 参茜固经颗粒
